"","DSI"
"868",-2.9406
"869",-2.7787
"870",-2.9069
"871",-2.6817
"872",-3.17
"873",-2.9186
"874",-2.8783
"875",-2.9608
"876",-2.4781
"877",-2.3949
"878",-2.0627
"879",-2.5087
"880",-2.6404
"881",-2.5374
"882",-2.6116
"883",-2.4221
"884",-2.6935
"885",-2.9293
"886",-3.0101
"887",-3.1573
"888",-2.3115
"889",-2.4938
"890",-2.4857
"891",-2.7536
"892",-2.5367
"893",-2.7831
"894",-3.0043
"895",-2.8352
"896",-2.716
"897",-2.8768
"898",-2.898
"899",-2.6199
"900",-2.6812
"901",-3.0461
"902",-2.5994
"903",-3.0602
"904",-2.8218
"905",-3.0861
"906",-2.8893
"907",-3.0319
"908",-2.8084
"909",-2.8803
"910",-3.4451
"911",-3.2676
"912",-3.285
"913",-3.2244
"914",-3.0572
"915",-3.2103
"916",-3.1711
"917",-2.7109
"918",-2.8071
"919",-2.8959
"920",-3.2457
"921",-3.0837
"922",-2.7957
"923",-3.058
"924",-3.1234
"925",-2.8554
"926",-3.1353
"927",-3.1176
"928",-3.1142
"929",-2.9553
"930",-3.0677
"931",-3.0324
"932",-3.1938
"933",-3.202
"934",-3.0233
"935",-2.9709
"936",-2.6129
"937",-2.8296
"938",-3.4755
"939",-3.1582
"940",-3.3627
"941",-2.816
"942",-3.2603
"943",-2.9971
"944",-2.9703
"945",-2.8525
"946",-3.2423
"947",-3.3064
"948",-2.8465
"949",-2.9992
"950",-3.469
"951",-3.0678
"952",-3.1051
"953",-2.9476
"954",-2.8257
"955",-2.8744
"956",-3.2175
"957",-3.1841
"958",-3.3438
"959",-3.0825
"960",-3.5073
"961",-3.5054
"962",-3.4431
"963",-3.7714
"964",-3.6138
"965",-3.4264
"966",-3.6126
"967",-3.6245
"968",-3.2992
"969",-3.0944
"970",-3.2696
"971",-3.2961
"972",-3.2219
"973",-3.5684
"974",-3.4864
"975",-3.7163
"976",-3.5354
"977",-3.2093
"978",-3.122
"979",-2.7588
"980",-3.1615
"981",-3.0649
"982",-2.6264
"983",-2.9651
"984",-2.715
"985",-3.1719
"986",-2.8542
"987",-2.8316
"988",-2.954
"989",-2.747
"990",-2.2961
"991",-2.7366
"992",-2.9352
"993",-2.6391
"994",-2.1151
"995",-2.0668
"996",-2.605
"997",-2.1855
"998",-2.5157
"999",-2.4907
"1000",-2.6004
"1001",-2.3493
"1002",-2.6848
"1003",-3.0886
"1004",-3.0515
"1005",-2.9537
"1006",-3.0448
"1007",-3.14
"1008",-2.9842
"1009",-2.827
"1010",-2.7337
"1011",-3.0908
"1012",-2.7775
"1013",-2.9316
"1014",-2.7955
"1015",-2.7802
"1016",-2.691
"1017",-2.8301
"1018",-2.5738
"1019",-2.9243
"1020",-2.8475
"1021",-2.8956
"1022",-2.822
"1023",-2.9718
"1024",-2.7997
"1025",-3.078
"1026",-3.0432
"1027",-2.8328
"1028",-2.9353
"1029",-2.9291
"1030",-2.9004
"1031",-3.1129
"1032",-3.0554
"1033",-2.8388
"1034",-2.8017
"1035",-3.0111
"1036",-2.8184
"1037",-2.687
"1038",-2.5274
"1039",-3.0628
"1040",-2.5878
"1041",-2.9215
"1042",-3.0609
"1043",-2.9982
"1044",-3.1563
"1045",-2.9429
"1046",-2.9536
"1047",-2.9606
"1048",-2.7941
"1049",-2.6663
"1050",-3.236
"1051",-3.16
"1052",-3.1056
"1053",-3.0445
"1054",-2.896
"1055",-3.0403
"1056",-2.8198
"1057",-3.2363
"1058",-3.0264
"1059",-3.1689
"1060",-3.1883
"1061",-3.3796
"1062",-3.0872
"1063",-2.9109
"1064",-2.3556
"1065",-2.8025
"1066",-2.8286
"1067",-2.8108
"1068",-2.9187
"1069",-3.0789
"1070",-2.9827
"1071",-2.985
"1072",-2.7897
"1073",-3.2549
"1074",-3.3995
"1075",-3.316
"1076",-3.4078
"1077",-3.2045
"1078",-3.0859
"1079",-3.264
"1080",-3.1219
"1081",-3.2575
"1082",-2.9079
"1083",-3.3198
"1084",-2.6861
"1085",-3.2304
"1086",-2.9816
"1087",-2.8066
"1088",-3.0997
"1089",-3.3451
"1090",-2.7783
"1091",-2.8113
"1092",-2.9114
"1093",-3.2464
"1094",-3.119
"1095",-2.8187
"1096",-3.364
"1097",-3.0564
"1098",-2.7999
"1099",-2.8108
"1100",-3.2569
"1101",-2.871
"1102",-3.0826
"1103",-2.9502
"1104",-2.958
"1105",-2.7315
"1106",-3.4036
"1107",-3.1138
"1108",-3.5047
"1109",-2.9058
"1110",-3.1472
"1111",-3.0714
"1112",-3.2244
"1113",-2.9785
"1114",-3.2024
"1115",-2.6168
"1116",-3.055
"1117",-2.9296
"1118",-2.8769
"1119",-3.0037
"1120",-2.9411
"1121",-2.8193
"1122",-2.5873
"1123",-2.261
"1124",-2.8466
"1125",-2.9131
"1126",-2.7374
"1127",-3.0796
"1128",-2.8576
"1129",-2.7414
"1130",-3.0216
"1131",-2.917
"1132",-2.9838
"1133",-3.2872
"1134",-3.0162
"1135",-2.7997
"1136",-3.0573
"1137",-3.0422
"1138",-3.1522
"1139",-3.3272
"1140",-3.0032
"1141",-3.2985
"1142",-3.2702
"1143",-3.5112
"1144",-3.0834
"1145",-2.9877
"1146",-2.6401
"1147",-2.989
"1148",-2.8295
"1149",-3.0149
"1150",-2.9273
"1151",-2.8124
"1152",-2.8031
"1153",-3.1043
"1154",-2.9523
"1155",-2.8432
"1156",-2.9399
"1157",-2.8181
"1158",-2.758
"1159",-3.1593
"1160",-3.2722
"1161",-3.385
"1162",-3.3226
"1163",-3.2726
"1164",-3.4223
"1165",-3.417
"1166",-3.577
"1167",-3.6706
"1168",-3.2883
"1169",-3.1891
"1170",-2.8941
"1171",-2.8624
"1172",-3.5918
"1173",-3.1505
"1174",-3.0987
"1175",-3.3977
"1176",-3.3421
"1177",-3.1639
"1178",-3.1845
"1179",-3.1922
"1180",-3.0657
"1181",-3.3485
"1182",-3.2823
"1183",-2.8281
"1184",-3.0261
"1185",-2.7901
"1186",-2.9812
"1187",-3.4347
"1188",-3.2942
"1189",-3.1233
"1190",-3.2391
"1191",-3.2876
"1192",-3.4289
"1193",-3.3574
"1194",-3.3073
"1195",-3.3633
"1196",-3.0635
"1197",-3.3665
"1198",-3.2428
"1199",-3.2048
"1200",-3.2823
"1201",-3.1435
"1202",-2.9991
"1203",-3.0645
"1204",-3.2318
"1205",-3.1703
"1206",-2.9171
"1207",-2.5929
"1208",-2.7687
"1209",-3.2103
"1210",-2.7625
"1211",-2.4108
"1212",-2.9171
"1213",-3.133
"1214",-2.9036
"1215",-3.2338
"1216",-2.7276
"1217",-3.2191
"1218",-3.3809
"1219",-3.4721
"1220",-3.0198
"1221",-3.3182
"1222",-3.3682
"1223",-3.3548
"1224",-3.4305
"1225",-3.1387
"1226",-3.103
"1227",-3.4381
"1228",-3.2533
"1229",-3.1481
"1230",-3.4514
"1231",-3.4526
"1232",-3.1839
"1233",-3.1156
"1234",-3.1918
"1235",-3.2305
"1236",-3.276
"1237",-3.0007
"1238",-3.2576
"1239",-3.2879
"1240",-3.2968
"1241",-3.0574
"1242",-3.1585
"1243",-3.2765
"1244",-3.532
"1245",-3.3289
"1246",-3.1603
"1247",-3.588
"1248",-3.4907
"1249",-3.2883
"1250",-3.5179
"1251",-3.228
"1252",-3.3907
"1253",-3.219
"1254",-3.1466
"1255",-3.3606
"1256",-3.1817
"1257",-3.1424
"1258",-3.427
"1259",-3.5377
"1260",-3.1041
"1261",-3.4327
"1262",-3.2051
"1263",-3.1284
"1264",-3.3954
"1265",-3.2431
"1266",-3.5119
"1267",-3.3882
"1268",-3.124
"1269",-3.2785
"1270",-3.3684
"1271",-3.359
"1272",-3.3353
"1273",-3.0033
"1274",-3.3018
"1275",-3.4757
"1276",-3.0616
"1277",-3.4097
"1278",-3.2825
"1279",-3.1299
"1280",-3.2301
"1281",-3.4145
"1282",-3.4116
"1283",-3.4539
"1284",-3.2082
"1285",-3.2071
"1286",-3.3633
"1287",-3.0818
"1288",-3.13
"1289",-3.1639
"1290",-3.2126
"1291",-3.2799
"1292",-3.2402
"1293",-3.049
"1294",-3.1562
"1295",-3.3945
"1296",-3.3031
"1297",-3.0537
"1298",-3.1191
"1299",-3.6285
"1300",-3.426
"1301",-3.4517
"1302",-3.3628
"1303",-3.1418
"1304",-3.2959
"1305",-3.4668
"1306",-3.1985
"1307",-3.3928
"1308",-3.4199
"1309",-3.6387
"1310",-3.4442
"1311",-3.2364
"1312",-3.3138
"1313",-3.3656
"1314",-3.637
"1315",-3.2814
"1316",-2.974
"1317",-3.1824
"1318",-3.0367
"1319",-3.1565
"1320",-3.3978
"1321",-3.2002
"1322",-3.2539
"1323",-3.2901
"1324",-3.0293
"1325",-2.9508
"1326",-3.0933
"1327",-3.6352
"1328",-3.2129
"1329",-3.2934
"1330",-3.39
"1331",-3.1238
"1332",-3.2074
"1333",-3.428
"1334",-3.528
"1335",-3.4754
"1336",-3.5311
"1337",-3.4159
"1338",-3.3365
"1339",-3.4223
"1340",-3.4666
"1341",-3.4025
"1342",-3.3609
"1343",-3.5787
"1344",-3.4133
"1345",-3.4778
"1346",-3.4957
"1347",-3.6473
"1348",-3.5102
"1349",-3.4281
"1350",-3.5553
"1351",-3.3574
"1352",-3.3147
"1353",-3.3886
"1354",-3.4956
"1355",-3.0292
"1356",-3.3187
"1357",-3.8156
"1358",-3.3477
"1359",-3.299
"1360",-2.9502
"1361",-3.2233
"1362",-3.5424
"1363",-3.6849
"1364",-3.4879
"1365",-3.5299
"1366",-3.8141
"1367",-3.6763
"1368",-3.383
"1369",-3.2766
"1370",-3.4038
"1371",-3.1052
"1372",-3.2923
"1373",-3.0759
"1374",-3.4252
"1375",-2.8609
"1376",-3.0016
"1377",-3.1558
"1378",-2.8561
"1379",-3.1669
"1380",-3.4894
"1381",-3.2365
"1382",-3.1937
"1383",-3.2401
"1384",-3.1641
"1385",-3.3533
"1386",-3.4519
"1387",-3.0036
"1388",-3.028
"1389",-3.0911
"1390",-3.2369
"1391",-2.9938
"1392",-3.0674
"1393",-3.1942
"1394",-3.0658
"1395",-3.1287
"1396",-3.236
"1397",-3.497
"1398",-3.215
"1399",-3.2782
"1400",-3.2738
"1401",-3.0543
"1402",-3.1702
"1403",-3.8267
"1404",-2.9484
"1405",-3.2902
"1406",-3.6352
"1407",-3.4001
"1408",-3.5599
"1409",-3.1126
"1410",-3.5326
"1411",-3.4413
"1412",-3.543
"1413",-3.1873
"1414",-3.119
"1415",-3.3001
"1416",-3.2558
"1417",-3.3651
"1418",-3.1192
"1419",-3.3221
"1420",-2.8776
"1421",-2.9803
"1422",-2.9436
"1423",-3.2278
"1424",-3.4441
"1425",-3.4813
"1426",-3.0242
"1427",-2.7671
"1428",-3.5908
"1429",-3.4064
"1430",-3.3048
"1431",-3.1767
"1432",-3.2711
"1433",-2.8527
"1434",-3.0865
"1435",-3.3422
"1436",-3.2709
"1437",-3.2021
"1438",-3.2458
"1439",-2.928
"1440",-3.3334
"1441",-3.1131
"1442",-2.9791
"1443",-2.9884
"1444",-3.1619
"1445",-3.1225
"1446",-3.1954
"1447",-3.0878
"1448",-2.6882
"1449",-3.2141
"1450",-3.1394
"1451",-3.1052
"1452",-3.0494
"1453",-2.7068
"1454",-2.895
"1455",-3.1506
"1456",-3.152
"1457",-3.5555
"1458",-3.3638
"1459",-3.3202
"1460",-2.8561
"1461",-3.2669
"1462",-3.0369
"1463",-3.4169
"1464",-3.3009
"1465",-3.3925
"1466",-4.0094
"1467",-3.7198
"1468",-3.5039
"1469",-3.6795
"1470",-3.5278
"1471",-3.4058
"1472",-3.3684
"1473",-3.3443
"1474",-3.0785
"1475",-3.2168
"1476",-3.3911
"1477",-3.511
"1478",-3.2881
"1479",-3.4504
"1480",-3.6398
"1481",-3.1796
"1482",-3.2884
"1483",-3.6125
"1484",-3.5528
